luc_base_code,description,include_as_single_family,note
100A,RESIDENTIAL VACANT LAND,FALSE,vacant land - no dwelling
100B,RESIDENTIAL DEVELOPER VACANT LAND,FALSE,vacant land - no dwelling
101,1 FAMILY 1 S FRAME,TRUE,
102,1 FAMILY 1 S BRICK,TRUE,
103,1 FAMILY 1 S STONE,TRUE,
104,1 FAMILY 1 S CONCRETE BLOCK,TRUE,
105,1 FAMILY 1 S STUCCO (incl 105A bi-level 105B split level),TRUE,
106,1 FAMILY 1 1/2 S FRAME,TRUE,
107,1 FAMILY 1 1/2 S BRICK,TRUE,
108,1 FAMILY 1 1/2 S STONE,TRUE,
109,1 FAMILY 1 1/2 S CONCRETE BLOCK,TRUE,
110,1 FAMILY 1 1/2 S STUCCO,TRUE,
111,1 FAMILY 2 S FRAME,TRUE,
112,1 FAMILY 2 S BRICK,TRUE,
113,1 FAMILY 2 S STONE,TRUE,
114,1 FAMILY 2 S CONCRETE BLOCK,TRUE,
115,1 FAMILY 2 S STUCCO,TRUE,
116,1 FAMILY 3 S FRAME,TRUE,
117,1 FAMILY 3 S BRICK,TRUE,
118,1 FAMILY 3 S STONE,TRUE,
119,1 FAMILY 3 S CONCRETE BLOCK,TRUE,
120,1 FAMILY 3 S STUCCO,TRUE,
121,1 FAMILY 2 1/2 S FRAME/BRICK/STONE/HALF DOUBLE,TRUE,
122-141,2 TO 4 FAMILY (all exterior/story variants),FALSE,multi-family - out of single-family scope
143,RESIDENTIAL EARTH HOME,TRUE,
144,RESIDENTIAL LOG HOME,TRUE,
145,RESIDENTIAL 1 S MODULAR,TRUE,
146,RESIDENTIAL MOBILE HOME OWN LAND,TRUE,judgment call: owner owns land+home; included
147,RESIDENTIAL MOBILE HOME RENT LAND,FALSE,owner does not own the land - excluded
148,RESIDENTIAL MOBILE HOME IN MOBILE PARK,FALSE,owner does not own the land - excluded
149,1 FAMILY 2 1/2 S DOUBLE FRAME,TRUE,
150,RESIDENTIAL MIXED RESIDENTIAL/COMMERCIAL,FALSE,mixed use - out of single-family scope
151,RESIDENTIAL CONDO COMMON ELEMENT,FALSE,condo - out of single-family scope
152,RESIDENTIAL CONDO FEE SIMPLE,FALSE,condo - out of single-family scope (judgment call)
153,RESIDENTIAL AUXILIARY IMPROVEMENTS,FALSE,secondary structure record, not primary dwelling
154,RESIDENTIAL UNSOUND STRUCTURE,FALSE,ambiguous dwelling type in dictionary - excluded, revisit manually if wanted
160,RESIDENTIAL LARGE VACANT W/UNKNOWN POTENTIAL,FALSE,vacant land
161,1 FAMILY 2 1/2 S DOUBLE STONE/BRICK,TRUE,
162,1 FAMILY 3 1/2 S DOUBLE FRAME,TRUE,
163,1 FAMILY 3 1/2 S DOUBLE STONE/BRICK,TRUE,
190,RESIDENTIAL EXEMPTIONS,FALSE,exemption status code, not a dwelling type
191,RESIDENTIAL EXEMPTIONS VETERANS,FALSE,exemption status code, not a dwelling type
2001-2713,VACANT (various use/size bands),FALSE,vacant land - out of scope
600,RESIDENTIAL VACANT EXEMPT,FALSE,vacant land
800,RESIDENTIAL VACANT OVER 10 AC,FALSE,vacant land
801,RESIDENTIAL DWELLING OVER 10 AC,TRUE,
802,RESIDENTIAL AUXILIARY OVER 10 AC,FALSE,secondary structure, not primary dwelling
