muni_code,municipality_name,type,in_scope
01,READING,CITY,TRUE
02,READING,CITY,TRUE
03,READING,CITY,TRUE
04,READING,CITY,TRUE
05,READING,CITY,TRUE
06,READING,CITY,TRUE
07,READING,CITY,TRUE
08,READING,CITY,TRUE
09,READING,CITY,TRUE
10,READING,CITY,TRUE
11,READING,CITY,TRUE
12,READING,CITY,TRUE
13,READING,CITY,TRUE
14,READING,CITY,TRUE
15,READING,CITY,TRUE
16,READING,CITY,TRUE
17,READING,CITY,TRUE
18,READING,CITY,TRUE
19,READING,CITY,TRUE
39,CUMRU,TOWNSHIP,TRUE
54,KENHORST,BOROUGH,TRUE
77,SHILLINGTON,BOROUGH,TRUE
93,WEST READING,BOROUGH,TRUE
96,WYOMISSING,BOROUGH,TRUE
